"","egg.dens","b.depth","lat","lon","time","flow","s.depth","temp.surf","temp.20m","net.area","c.dist"
"336",14.98,206,48.27,-8.23,6.62,8307,195,12.9,12.8,0.15,0.0116115201226524
"337",55.53,192,48.23,-8.75,6.65,7996,195,12.9,13,0.15,0.0877499993634342
"338",62.85,256,48.25,-9.25,9.18,6274,199,12.6,12.6,0.15,0.154152246447609
"339",52.25,875,48.23,-9.75,11.53,6364,200,13.1,13,0.15,0.417110197247753
"340",69.2,3000,48.25,-10.27,13.85,7132,201,13.1,12.9,0.15,0.537530786390725
"341",47.45,2700,48.25,-10.77,16.78,7010,200,13.5,13.1,0.15,0.740146172354061
"342",21.52,4000,48.25,-11.25,19.03,6940,200,13.4,13.3,0.15,0.87387873058028
"343",30.86,2800,48.23,-11.73,21.45,6010,200,13.4,13.4,0.15,1.15398622502956
"344",75.5,1600,48.73,-12.73,2.72,5776,200,13,12.8,0.15,1.66150102318723
"345",29.17,1300,48.73,-12.25,5.05,6282,200,13.6,13.4,0.15,1.2186671568842
"346",36.69,1400,48.73,-11.87,7,6125,200,13.3,13.1,0.15,0.889429171901129
"347",151.14,2600,48.75,-11.62,8.42,5606,200,13.3,13.2,0.15,0.68572383674678
"348",172.63,1600,48.75,-11.37,9.83,4863,200,13.4,13.4,0.15,0.52933665346678
"349",107.87,1000,48.73,-11.12,11.18,6096,200,13.3,12.9,0.15,0.391450222278846
"350",178.81,1100,48.75,-10.87,12.6,6268,200,13.4,13.2,0.15,0.269496997663534
"351",133.62,1400,48.73,-10.62,14.2,5728,200,13.2,12.9,0.15,0.262242588413797
"352",116.25,162,48.73,-10.37,16.77,6551,162,13,12.6,0.15,0.11795710671251
"353",123.28,425,48.75,-10.07,20.3,5843,200,12.7,12.4,0.15,0.0157432556000003
"354",213.32,193,48.75,-9.85,21.77,6785,188,13.1,12.7,0.15,0.0253065469617143
"355",144.01,176,48.75,-9.6,23.07,6228,172,12.5,12.4,0.15,0.119013887998601
"356",58.24,175,48.75,-9.37,0.4,5484,171,12.5,12.2,0.15,0.2067097778392
"357",14.81,165,48.75,-9.13,1.72,5608,157,12.9,12.6,0.15,0.329107796033111
"358",1.85,170,48.73,-8.87,3.02,5566,168,13.3,12.5,0.15,0.398858926610069
"359",5.6,146,48.73,-8.63,4.38,4555,135,13.1,12.7,0.15,0.421411279450034
"360",6.85,153,48.75,-8.23,6.15,7086,158,13.1,12.5,0.15,0.446278957913427
"361",5.22,158,48.75,-7.75,8.63,4674,153,13.2,12.8,0.15,0.603252789814856
"362",19.53,153,48.75,-7.23,10.85,5275,144,13.1,12.6,0.15,0.810598840808416
"363",10.37,145,48.75,-6.77,12.98,2305,74,13.7,12.9,0.15,1.07455991000334
"364",2.74,137,48.75,-6.27,14.87,2324,70,14.1,12.4,0.15,1.15962221066972
"365",2.46,126,49.25,-6.73,18.32,2389,60,13.5,13,0.15,1.49043954372071
"366",7.17,135,49.25,-7.22,20.13,1899,61,13.4,12.8,0.15,1.26318170580489
"367",12.26,138,49.25,-7.72,21.97,1464,60,13.2,12.3,0.15,1.082857143901
"368",12.21,127,49.25,-8.25,0,4595,125,12.9,12.3,0.15,0.932159317289823
"369",13.87,152,49.25,-8.63,1.82,5668,146,13,12.3,0.15,0.939043873555249
"370",3.99,154,49.25,-8.88,3.27,4355,149,12.9,12.1,0.15,0.887526452014354
"371",1.12,151,49.25,-9.12,4.57,3922,145,12.8,12.4,0.15,0.762901271138233
"372",9.8,153,49.25,-9.38,5.87,6065,147,12.8,12.6,0.15,0.652631678084413
"373",6.61,154,49.23,-9.65,7.18,6272,150,12.8,12.5,0.15,0.532759007127447
"374",8.1,132,49.25,-9.88,8.53,4626,122,12.9,12.5,0.15,0.499412190971806
"375",82.04,162,49.25,-10.15,9.77,6350,157,13.1,12.8,0.15,0.340920049680279
"376",254.57,136,49.25,-10.37,11.02,4193,128,13.1,12.8,0.15,0.257988187668201
"377",133.75,163,49.25,-10.63,12.32,5631,156,12.9,12.6,0.15,0.257348600770175
"378",35.34,177,49.23,-10.88,13.7,5724,169,13,12.3,0.15,0.15568724563376
"379",79.52,187,49.25,-11.08,14.88,4036,181,13.6,12.6,0.15,0.0439525457909566
"380",124.71,350,49.23,-11.37,16.87,4216,200,13.5,13,0.15,0.213998520472035
"381",351.88,830,49.25,-11.73,17.5,6096,200,14.1,13.6,0.15,0.569261080767182
"382",82.05,1100,49.25,-12.25,20.42,6376,200,13.6,12.9,0.15,1.08893549996876
"383",123.08,1200,49.25,-12.75,22.78,7437,200,13.6,13.2,0.15,1.58882336997925
"384",53.92,2200,49.73,-12.73,2.72,6509,200,13.5,12.8,0.15,1.63244473451698
"385",56.16,1200,49.73,-12.25,4.87,6315,200,13.6,12.6,0.15,1.1787450107925
"386",275.73,780,49.75,-11.75,7,5462,200,13.9,12.8,0.15,0.754550479286986
"387",204.49,450,49.73,-11.33,8.88,6907,200,13.2,12.3,0.15,0.376563136879228
"388",50.83,320,49.73,-11.1,10.35,4931,200,12.7,12.1,0.15,0.1580631431158
"389",25.37,175,49.75,-10.83,11.75,6065,167,13,12.5,0.15,0.0496397168325416
"390",230.82,147,49.75,-10.6,13.15,4736,143,13.8,13.2,0.15,0.196098238593524
"391",10.97,143,49.75,-10.35,14.43,4789,139,13.9,12.7,0.15,0.419240210177272
"392",36.55,141,49.75,-10.08,15.73,5609,141,13.9,12.9,0.15,0.681509218757518
"393",36.63,131,49.73,-9.85,17.03,4404,128,13.9,12.7,0.15,0.905148913406577
"394",43.18,158,49.73,-9.62,18.22,3660,152,13.9,12.7,0.15,1.03026611696901
"395",83.48,118,49.73,-9.33,20.88,4283,112,14,12.5,0.15,1.10731215571013
"396",4.25,142,49.75,-9.12,23.3,4046,140,14.1,12.5,0.15,1.21577264863924
"397",5.32,126,49.75,-8.85,1.03,4772,136,13.8,12.6,0.15,1.33107456194998
"398",4.02,136,49.75,-8.6,2.55,3084,140,13.9,12.2,0.15,1.43771204565671
"400",2.42,133,49.73,-7.72,6.9,5060,131,14.4,12.6,0.15,1.53429366140039
"401",4.94,103,50.25,-7.73,11.15,3096,97,12.7,12.7,0.15,2.0258870904735
"403",31.02,126,50.25,-8.73,16.92,4812,132,13,12.9,0.15,1.83164207995621
"404",51.51,140,50.25,-9.23,20,5017,135,12.8,12.8,0.15,1.47567788346284
"405",50.61,126,50.25,-9.75,22.93,3465,118,12.9,12.9,0.15,0.965814421431652
"406",15.27,137,50.23,-10.1,1.1,5308,132,12.9,12.9,0.15,0.639692834706908
"407",9.25,147,50.23,-10.37,3.33,4407,142,12.9,12.8,0.15,0.398022752318934
"408",8.93,164,50.23,-10.62,5.3,4691,162,12.8,12.9,0.15,0.148869526477177
"409",5.59,208,50.23,-10.87,7.22,5662,201,12.7,12.7,0.15,0.0521180110157429
"410",176.86,550,50.23,-11.13,9.23,5008,200,12.6,12.7,0.15,0.238089263149042
"411",326.13,1100,50.23,-11.38,11.45,6254,200,12.7,12.7,0.15,0.478338755305123
"412",253.29,1600,50.25,-11.73,13.88,6406,200,13,13,0.15,0.826977369261611
"413",122.37,2300,50.25,-12.25,16.82,7326,200,13,13,0.15,1.34398817773032
"414",191.62,2400,50.23,-12.75,19.48,6043,200,12.9,12.9,0.15,1.84158453709702
"415",46.51,2300,50.75,-12.75,0.37,5784,200,12.7,12.5,0.15,1.70698652412647
"416",89.16,2100,50.73,-12.25,2.82,6629,200,12.7,12.7,0.15,1.23283476259771
"417",99.45,2000,50.75,-11.87,4.72,6224,200,12.6,12.4,0.15,0.8753594352935
"418",131.17,1800,50.73,-11.6,6.1,7469,200,12.8,12.7,0.15,0.651914941606309
"419",202.89,1300,50.75,-11.37,7.5,6288,200,12.9,12.8,0.15,0.453746285885478
"420",62.67,330,50.73,-11.12,8.92,6577,200,12.7,12.7,0.15,0.250935409519408
"421",32.44,181,50.73,-10.85,10.67,4820,175,12.9,12.8,0.15,0.0218147471088778
"422",24.85,166,50.73,-10.55,12.08,3744,160,13.1,12.9,0.15,0.223878639455601
"423",10.65,140,50.75,-10.23,14.53,4036,133,13.5,12.9,0.15,0.519921228519224
"424",1.19,123,50.75,-9.72,16.8,3121,118,13.5,12.7,0.15,1.00277542547639
"425",20.62,130,50.73,-9.23,18.55,3789,124,13.1,12.7,0.15,1.47751261459974
"426",18.96,105,50.73,-8.73,20.47,2945,96,13.1,12.9,0.15,1.97230658271004
"428",0.85,101,51.25,-8.25,1.9,3634,96,13.1,12.9,0.15,2.55439519913136
"429",1.88,105,51.23,-8.75,3.75,3410,99,12.8,12.9,0.15,2.07424300252668
"430",0.8,110,51.25,-9.25,5.7,4139,107,12.8,12.6,0.15,1.61687041325691
"431",1.75,108,51.25,-9.75,7.73,3576,102,12.8,12.5,0.15,1.17738178575792
"432",5.58,136,51.23,-10.25,9.72,4408,130,12.9,12.7,0.15,0.752008909914452
"433",11.41,165,51.23,-10.63,11.37,5437,160,12.9,12.9,0.15,0.427945864812074
"434",17.91,178,51.25,-10.88,4.55,5208,172,13.1,12.8,0.15,0.2277079773
"435",58.98,211,51.23,-11.3,6.35,6197,200,12.9,12.7,0.15,0.1922920227
"436",128.27,610,51.23,-11.65,8.05,5959,200,12.8,12.6,0.15,0.5422920227
"437",306.81,1100,51.25,-11.88,9.35,6408,200,12.8,12.7,0.15,0.7722920227
"438",150.92,1200,51.25,-12.12,10.72,6704,200,12.9,12.8,0.15,1.0122920227
"439",137.45,1300,51.25,-12.38,12.17,6059,200,13.1,12.8,0.15,1.26887669294962
"440",214.4,1500,51.23,-12.75,13.88,6306,200,13.3,12.5,0.15,1.59905689213661
"441",13.29,470,51.75,-14.73,15.07,6303,200,12.4,12.3,0.15,1.6548107033809
"442",22.19,375,51.73,-14.35,19.52,6012,200,12.5,12.4,0.15,1.56576894864408
"443",29.5,380,51.73,-14.08,20.92,5884,200,12.3,12.3,0.15,1.53285921901067
"444",59.55,450,51.75,-13.85,22.32,5498,200,12.3,12.4,0.15,1.51758482408936
"445",82.04,590,51.73,-13.62,23.63,6289,200,12.5,12.5,0.15,1.55355543434146
"446",43.92,790,51.73,-13.37,1.03,5943,200,12.4,11.9,0.15,1.58161108431332
"447",226.99,1000,51.73,-13.12,2.45,5859,200,12.7,12.7,0.15,1.44044892833853
"448",288.36,1200,51.73,-12.88,3.87,4799,200,12.7,12.6,0.15,1.28118012144414
"449",301.44,1300,51.75,-12.62,5.27,5332,201,12.6,12.6,0.15,1.11875145741572
"450",132.6,1300,51.75,-12.38,6.63,5654,200,12.6,12.6,0.15,1.00450571322261
"451",202.84,1000,51.73,-12.12,8.03,6503,200,12.6,12.6,0.15,0.799855259440353
"452",143.54,710,51.75,-11.88,9.45,5965,200,12.8,12.7,0.15,0.585732300488631
"453",76.81,350,51.73,-11.62,10.88,6291,200,12.8,12.7,0.15,0.370994498962896
"454",49.1,210,51.73,-11.35,12.4,5903,200,12.9,12.7,0.15,0.136148667367191
"455",16.32,183,51.75,-11.1,13.85,5353,178,13.1,13,0.15,0.0911692878701427
"456",31.82,133,51.75,-10.73,15.77,3047,135,12.8,12.3,0.15,0.427211677947125
"457",0.56,101,51.23,-8.23,5.23,655,95,12.4,11.4,0.222,2.56760336882497
"460",2.67,102,51.25,-9.73,13.1,289,95,11.9,11.8,0.222,1.19454023459254
"461",18,133,51.25,-10.23,16.03,439,125,12.6,12.6,0.222,0.779068549430142
"462",19.51,171,51.25,-10.72,18.63,850,166,12.3,12.3,0.222,0.364787337654264
"463",8.45,203,51.23,-11.22,21.63,1099,183,12.1,12.1,0.222,0.1122920227
"464",219.77,1161,51.25,-11.72,0.33,1423,183,12.2,12.1,0.222,0.6122920227
"465",601.78,1645,51.25,-12.18,3.17,769,183,12.3,12.3,0.222,1.0722920227
"466",140.85,1885,51.23,-12.7,5.75,859,183,12.2,12.1,0.222,1.5566992609138
"467",151.25,481,51.73,-14.7,13.92,808,183,12.6,12.3,0.222,1.66220820105124
"468",156.6,377,51.75,-14.28,17.13,766,183,12.1,12.1,0.222,1.53307465625193
"469",96,509,51.73,-13.78,19.6,994,183,12.3,12.1,0.222,1.54292085258259
"470",348.08,912,51.73,-13.28,22.42,981,183,12.7,12.3,0.222,1.5581619751498
"471",164.13,1085,51.73,-12.78,0.9,704,183,12.5,11.9,0.222,1.22262412407232
"472",281.81,996,51.75,-12.28,3.52,959,183,12.5,12.2,0.222,0.925387151214265
"473",164.93,523,51.73,-11.77,5.8,862,183,12.2,12.1,0.222,0.501464405404956
"474",13.6,195,51.73,-11.28,8.57,923,183,12.5,12.2,0.222,0.0752627110275635
"475",10.38,138,51.75,-10.78,11.6,635,138,12.6,12.3,0.222,0.380205656323066
"476",0.79,68,51.75,-10.3,14.15,307,58,12.2,12,0.222,0.835931468374434
"477",2.28,117,52.23,-10.7,17.78,496,93,13.5,11.8,0.222,0.675923706395924
"478",1.63,139,52.25,-11.2,19.98,670,129,12.5,12.1,0.222,0.256006299883033
"479",36.56,306,52.23,-11.7,22.33,1102,183,13,12.3,0.222,0.17337035395114
"480",165.28,749,52.25,-12.23,1.12,1061,183,13.1,12.4,0.222,0.488697566760116
"481",93.67,689,52.25,-12.72,3.27,1045,183,12.5,12.2,0.222,0.794525408352844
"482",173.42,572,52.25,-13.2,5.68,1021,183,12.5,12.1,0.222,1.11122492526704
"483",79.42,387,52.23,-13.7,8.05,1030,183,12.2,12,0.222,1.04930841430281
"484",35.91,334,52.23,-14.2,10.77,789,183,12,11.8,0.222,1.04645416273145
"485",131.4,436,52.25,-14.68,12.93,539,183,12.4,12.2,0.222,1.18253888242797
"486",365.88,559,52.73,-14.78,16.88,796,183,12.5,12.3,0.222,0.875863246833662
"487",20.7,332,52.75,-14.28,19.28,862,183,12.3,11.8,0.222,0.559768500716145
"488",203.39,234,52.75,-13.78,21.65,552,183,12.1,11.9,0.222,0.525155211842813
"489",75.11,347,52.73,-13.28,23.97,785,183,12.2,11.5,0.222,0.636909660462727
"490",109.68,487,52.73,-12.8,2.6,897,183,12.6,12.1,0.222,0.617235915799847
"491",52.99,337,52.75,-12.28,5.13,780,183,12.4,12,0.222,0.136531264827029
"492",0.9,168,52.75,-11.78,7.52,774,165,12.6,12.1,0.222,0.15520611448959
"493",2.92,130,52.73,-11.27,9.85,763,130,12.9,12.2,0.222,0.474216691859379
"494",0.97,143,53.22,-11.25,13.35,560,129,13.8,12.1,0.222,0.623815366062195
"495",3.66,182,53.25,-11.68,15.88,824,165,13.9,12.7,0.222,0.35631557147649
"496",8.33,308,53.23,-12.2,18.38,966,183,13.5,12.4,0.222,0.00944832758886179
"497",29.2,338,53.25,-12.7,20.82,806,183,12.7,11.5,0.222,0.485779679095251
"498",51.55,236,53.23,-13.2,23.1,697,183,12.7,12,0.222,0.234192311610934
"499",51.48,171,53.23,-13.68,1.42,720,166,12.5,11.6,0.222,0.05545934303658
"500",38.12,208,53.25,-14.2,3.83,904,183,12.2,11.7,0.222,0.103017914390301
"501",104,949,53.25,-14.7,6.33,981,183,12.6,12.6,0.222,0.594881615857581
"502",179.54,1500,53.72,-14.75,10.18,792,183,12.1,11.6,0.222,0.766108753822467
"503",28.9,1358,53.75,-14.28,12.73,704,183,12.2,11.9,0.222,0.42445531801046
"504",74.9,418,53.75,-13.8,15.13,789,183,12.2,12.3,0.222,0.190150346039717
"505",42.12,303,53.75,-13.28,17.53,680,183,12.2,12.1,0.222,0.117137730822089
"506",42.11,283,53.73,-12.77,20.25,340,183,12.4,11.9,0.222,0.435686155443273
"507",26.43,333,53.73,-12.28,22.43,829,183,12.2,12.2,0.222,0.399486725384263
"508",22.55,295,53.73,-11.77,0.67,615,183,12.5,12.5,0.222,0.0823763240319072
"509",9.97,205,53.75,-11.3,3.08,1036,183,12.5,12.3,0.222,0.145325044154414
"510",18.89,148,53.75,-10.78,5.45,680,139,12.3,12.4,0.222,0.424571289064509
"513",0.89,119,53.2,-10.72,13.83,597,118,12.9,12.6,0.222,0.928502272018894
"515",1.9,100,52.73,-10.27,19.25,443,93,12.7,12.6,0.222,1.29890606373905
"517",84.06,214,54.25,-10.72,19.82,958,183,12.6,11.6,0.222,0.0175548778961795
"518",155.83,340,54.25,-11.2,22.15,664,183,12.3,12.3,0.222,0.217056212651134
"519",69.66,1172,54.25,-11.73,0.65,1141,183,12.3,12.1,0.222,0.505458042697807
"520",82.33,2030,54.23,-12.2,2.97,829,183,12.3,12.4,0.222,0.738645595145666
"521",21.88,2200,54.23,-12.7,5.38,849,183,12.3,12.1,0.222,0.805650526501993
"522",12.69,2000,54.73,-12.27,9.47,1002,183,12.5,12.3,0.222,1.19645528714984
"523",10.5,2873,54.75,-11.78,12.08,807,183,12.6,12.8,0.222,0.947626775611973
"524",11.41,2900,54.75,-11.3,14.48,894,183,12.3,12.2,0.222,0.701961309384081
"525",211.63,1750,54.75,-10.78,16.88,885,183,12.9,12.8,0.222,0.43849999150113
"526",49.99,120,54.75,-10.28,19.25,640,118,12.6,12.6,0.222,0.0331852024066013
"527",21.52,100,54.73,-9.73,22,492,88,12.9,12.5,0.222,0.391031249063192
"530",0.6,93,55.23,-8.7,6.45,466,80,13.1,10.8,0.222,0.655589155831163
"531",6.91,109,55.25,-9.22,8.57,575,102,13.2,13.2,0.222,0.293761370835383
"532",20.4,128,55.25,-9.72,10.73,478,80,12.9,12.6,0.222,0.0318280983886281
"533",31.47,1291,55.23,-10.18,12.75,840,183,12.8,12.6,0.222,0.27456227128139
"534",13.62,2480,55.23,-10.65,14.83,846,183,13.3,10.4,0.222,0.621421095881069
"535",35.12,2300,55.73,-10.27,19.07,877,183,12.9,11.7,0.222,0.682787547561441
"536",33.96,1785,55.75,-9.78,21.25,840,183,12.5,11.5,0.222,0.431270146105792
"537",22.53,140,55.73,-9.27,23.48,655,128,13.7,11.4,0.222,0.100689343848621
"538",6.1,106,55.73,-8.77,1.73,523,101,13.4,12.6,0.222,0.32643691892646
"539",2.1,104,55.73,-8.28,3.9,483,93,13.2,11,0.222,0.808204318637015
"540",0.92,167,56.25,-8.23,7.17,716,155,12,12.1,0.222,0.648423445130664
"541",2.27,131,56.23,-8.72,9.32,454,120,12.9,12.2,0.222,0.259648193114259
"542",32.23,711,56.25,-9.2,11.38,657,183,12.8,12.2,0.222,0.190980345248389
"543",92.77,1595,56.23,-9.68,13.98,944,183,13.4,12.6,0.222,0.658279242806276
"544",18.57,1795,56.75,-9.77,17.53,954,183,13.8,12.4,0.222,0.667341741538772
"545",188.9,1260,56.75,-9.28,19.58,814,183,13.6,12.9,0.222,0.311700176451667
"546",9.12,117,56.73,-8.78,21.75,315,101,13.8,11.8,0.222,0.0667314292970911
"547",3.97,134,57.23,-8.73,1.13,514,129,14,11.6,0.222,0.371563600048662
"548",41.55,174,57.23,-9.18,3.12,572,146,13,12.4,0.222,0.0820956290413336
"549",63.62,1940,57.25,-9.7,5.2,961,183,13.6,12.8,0.222,0.365636431445226
"550",55.3,1088,57.75,-9.77,8.88,469,95,13.2,11.4,0.222,0.392020407632051
